CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2008 Taku Kudo, All rights reserved.

reading training data: 100.. 200.. 300.. 400.. 500.. 600.. 700.. 800.. 900.. 1000.. 1100.. 1200.. 1300.. 1400.. 1500.. 1600.. 
Done!10.40 s

Number of sentences: 1600
Number of features:  2207527
Number of thread(s): 3
Freq:                1
eta:                 0.00010
C:                   1.00000
shrinking size:      20
iter=148 terr=0.02403 serr=0.80500 act=2207527 obj=14322.78431 diff=0.00505
iter=149 terr=0.02371 serr=0.80125 act=2207527 obj=14220.24574 diff=0.00716
iter=150 terr=0.02356 serr=0.79875 act=2207527 obj=14122.95158 diff=0.00684
iter=151 terr=0.02330 serr=0.79812 act=2207527 obj=14033.10904 diff=0.00636
iter=152 terr=0.02357 serr=0.79000 act=2207527 obj=14099.30174 diff=0.00472
iter=153 terr=0.02289 serr=0.79188 act=2207527 obj=13992.91133 diff=0.00755
iter=154 terr=0.02302 serr=0.79125 act=2207527 obj=13940.04676 diff=0.00378
iter=155 terr=0.02275 serr=0.79250 act=2207527 obj=13870.65536 diff=0.00498
iter=156 terr=0.02244 serr=0.79125 act=2207527 obj=13775.40649 diff=0.00687
iter=157 terr=0.02262 serr=0.78500 act=2207527 obj=13744.91336 diff=0.00221
iter=158 terr=0.02165 serr=0.78438 act=2207527 obj=13630.20622 diff=0.00835
iter=159 terr=0.02145 serr=0.77875 act=2207527 obj=13589.52158 diff=0.00298
iter=160 terr=0.02128 serr=0.77750 act=2207527 obj=13517.77653 diff=0.00528
iter=161 terr=0.02089 serr=0.76687 act=2207527 obj=13533.88765 diff=0.00119
iter=162 terr=0.02089 serr=0.76938 act=2207527 obj=13478.19001 diff=0.00412
iter=163 terr=0.02064 serr=0.77000 act=2207527 obj=13433.01292 diff=0.00335
iter=164 terr=0.02028 serr=0.76063 act=2207527 obj=13334.56570 diff=0.00733
iter=165 terr=0.02011 serr=0.75687 act=2207527 obj=13269.00374 diff=0.00492
iter=166 terr=0.01995 serr=0.75625 act=2207527 obj=13203.50190 diff=0.00494
iter=167 terr=0.01994 serr=0.75000 act=2207527 obj=13138.14282 diff=0.00495
iter=168 terr=0.01953 serr=0.74750 act=2207527 obj=13043.67396 diff=0.00719
iter=169 terr=0.02035 serr=0.76000 act=2207527 obj=13044.35571 diff=0.00005
iter=170 terr=0.01974 serr=0.74938 act=2207527 obj=13006.21130 diff=0.00292
iter=171 terr=0.01956 serr=0.74562 act=2207527 obj=12968.33106 diff=0.00291
iter=172 terr=0.01894 serr=0.74313 act=2207527 obj=12899.31491 diff=0.00532
iter=173 terr=0.01855 serr=0.74250 act=2207527 obj=12823.83446 diff=0.00585
iter=174 terr=0.01816 serr=0.74687 act=2207527 obj=12738.86208 diff=0.00663
iter=175 terr=0.01853 serr=0.74313 act=2207527 obj=12714.61691 diff=0.00190
iter=176 terr=0.01807 serr=0.73938 act=2207527 obj=12611.89040 diff=0.00808
iter=177 terr=0.01786 serr=0.73813 act=2207527 obj=12579.90349 diff=0.00254
iter=178 terr=0.01837 serr=0.73438 act=2207527 obj=12547.48225 diff=0.00258
iter=179 terr=0.01729 serr=0.73000 act=2207527 obj=12488.32924 diff=0.00471
iter=180 terr=0.01692 serr=0.72437 act=2207527 obj=12463.40006 diff=0.00200
iter=181 terr=0.01690 serr=0.71688 act=2207527 obj=12430.68054 diff=0.00263
iter=182 terr=0.01666 serr=0.71625 act=2207527 obj=12395.94799 diff=0.00279
iter=183 terr=0.01638 serr=0.71000 act=2207527 obj=12353.94309 diff=0.00339
iter=184 terr=0.01638 serr=0.70562 act=2207527 obj=12316.72557 diff=0.00301
iter=185 terr=0.01641 serr=0.70250 act=2207527 obj=12280.19831 diff=0.00297
iter=186 terr=0.01658 serr=0.70313 act=2207527 obj=12250.61309 diff=0.00241
iter=187 terr=0.01588 serr=0.69125 act=2207527 obj=12202.01104 diff=0.00397
iter=188 terr=0.01540 serr=0.68500 act=2207527 obj=12138.59312 diff=0.00520
iter=189 terr=0.01522 serr=0.68312 act=2207527 obj=12116.71355 diff=0.00180
iter=190 terr=0.01479 serr=0.67750 act=2207527 obj=12055.67087 diff=0.00504
iter=191 terr=0.01518 serr=0.68063 act=2207527 obj=12069.92518 diff=0.00118
